id_compra,data,mes,cliente,valor_total_da_compra
1214290153035-01,2022-03-01,3,Cliente 1,125.7
1214790410357-01,2022-03-03,3,Cliente 2,183.8
1214790693287-01,2022-03-03,3,Cliente 3,202.8
1214303121500-01,2022-03-01,3,Cliente 4,133.5
1214310533761-01,2022-03-01,3,Cliente 5,92.8
1214321149148-01,2022-03-01,3,Cliente 6,197.2
1214792289037-01,2022-03-03,3,Cliente 7,193.9
1214321243496-01,2022-03-01,3,Cliente 8,219.6
1214792619985-01,2022-03-03,3,Cliente 9,171.4
1214351936853-01,2022-03-01,3,Cliente 10,319.7
1214802651475-01,2022-03-03,3,Cliente 11,94.2
1214360545614-01,2022-03-01,3,Cliente 12,585.7
1214812344628-01,2022-03-03,3,Cliente 13,209.9
1214812848718-01,2022-03-03,3,Cliente 14,219.6
1214361055258-01,2022-03-01,3,Cliente 15,189.0
1214820542069-01,2022-03-03,3,Cliente 16,208.4
1214392965299-01,2022-03-01,3,Cliente 17,151.5
1214822552400-01,2022-03-03,3,Cliente 18,384.3
1214823263227-01,2022-03-03,3,Cliente 19,220.7
1214420368359-01,2022-03-01,3,Cliente 20,189.0
1214831123781-01,2022-03-03,3,Cliente 21,189.0
1214422411193-01,2022-03-01,3,Cliente 22,217.98
1214832422710-01,2022-03-03,3,Cliente 23,100.42
1214832641617-01,2022-03-03,3,Cliente 24,1129.7
1214442466164-01,2022-03-02,3,Cliente 25,209.8
1214842759230-01,2022-03-03,3,Cliente 26,94.2
1214533322066-01,2022-03-02,3,Cliente 27,122.3
1214842925160-01,2022-03-03,3,Cliente 28,202.8
1214850764307-01,2022-03-03,3,Cliente 29,177.06
1214541253659-01,2022-03-02,3,Cliente 30,89.4
1214851024765-01,2022-03-03,3,Cliente 31,189.3
1214541256106-01,2022-03-02,3,Cliente 32,91.3
1214851200337-01,2022-03-03,3,Cliente 23,61.22
1214861741007-01,2022-03-03,3,Cliente 33,241.4
1214541665633-01,2022-03-02,3,Cliente 32,91.3
1214863271766-01,2022-03-03,3,Cliente 34,78.9
1214543278683-01,2022-03-02,3,Cliente 35,211.4
1214872348885-01,2022-03-03,3,Cliente 36,144.53
1214552841660-01,2022-03-02,3,Cliente 32,91.3
1214881632331-01,2022-03-03,3,Cliente 37,202.8
1214882261619-01,2022-03-03,3,Cliente 38,869.9
1214561186254-01,2022-03-02,3,Cliente 39,213.0
1214890408879-01,2022-03-03,3,Cliente 40,292.0
1214572853775-01,2022-03-02,3,Cliente 41,187.2
1214922404174-01,2022-03-04,3,Cliente 42,185.7
1215000387662-01,2022-03-04,3,Cliente 43,219.6
1214581160891-01,2022-03-02,3,Cliente 44,72.2
1214581286840-01,2022-03-02,3,Cliente 45,207.8
1215003573478-01,2022-03-04,3,Cliente 46,94.2
1214581481060-01,2022-03-02,3,Cliente 47,107.31
1215010489760-01,2022-03-04,3,Cliente 48,331.6
1214590705777-01,2022-03-02,3,Cliente 49,272.7
1215011716885-01,2022-03-04,3,Cliente 50,197.4
1214591856664-01,2022-03-02,3,Cliente 47,107.31
1215022995771-01,2022-03-04,3,Cliente 51,289.7
1214601011891-01,2022-03-02,3,Cliente 52,141.7
1215032124691-01,2022-03-04,3,Cliente 53,192.8
1215032180466-01,2022-03-04,3,Cliente 54,91.3
1214601660163-01,2022-03-02,3,Cliente 55,189.0
1215040337220-01,2022-03-04,3,Cliente 56,125.7
1214610637100-01,2022-03-02,3,Cliente 57,202.8
1215043512490-01,2022-03-04,3,Cliente 32,156.3
1215073438074-01,2022-03-04,3,Cliente 58,186.3
1214613436247-01,2022-03-02,3,Cliente 59,303.7
1215073596118-01,2022-03-04,3,Cliente 60,238.8
1214620523798-01,2022-03-02,3,Cliente 61,194.0
1214621752894-01,2022-03-02,3,Cliente 62,365.6
1214631938983-01,2022-03-02,3,Cliente 63,114.59
1214632569009-01,2022-03-02,3,Cliente 64,331.6
1214642643652-01,2022-03-02,3,Cliente 65,146.54
1214643175288-01,2022-03-02,3,Cliente 66,99.36
1215081016614-01,2022-03-04,3,Cliente 67,148.15
1214651865784-01,2022-03-02,3,Cliente 68,464.0
1214653158471-01,2022-03-02,3,Cliente 69,219.8
1214671251444-01,2022-03-03,3,Cliente 70,246.9
1214741247523-01,2022-03-03,3,Cliente 71,219.6
1214761018984-01,2022-03-03,3,Cliente 72,117.6
1214761484830-01,2022-03-03,3,Cliente 73,189.0
1214770133669-01,2022-03-03,3,Cliente 74,209.9
1215081269804-01,2022-03-04,3,Cliente 75,262.08
1214770180089-01,2022-03-03,3,Cliente 76,190.6
1215082728603-01,2022-03-04,3,Cliente 77,262.08
1215090209457-01,2022-03-04,3,Cliente 78,67.4
1214772356871-01,2022-03-03,3,Cliente 79,180.7
1215090580603-01,2022-03-04,3,Cliente 78,67.4
1214772831410-01,2022-03-03,3,Cliente 80,151.5
1215090722166-01,2022-03-04,3,Cliente 78,67.4
1215103567727-01,2022-03-04,3,Cliente 81,189.0
1214781059837-01,2022-03-03,3,Cliente 82,226.7
1215271929524-01,2022-03-05,3,Cliente 23,61.22
1214781410168-01,2022-03-03,3,Cliente 83,202.8
1215280217714-01,2022-03-05,3,Cliente 84,257.7
1214783090673-01,2022-03-03,3,Cliente 85,148.8
1215280569497-01,2022-03-05,3,Cliente 86,202.8
1214783121200-01,2022-03-03,3,Cliente 87,388.5
1215282714130-01,2022-03-05,3,Cliente 88,127.1
1215300282631-01,2022-03-05,3,Cliente 89,189.0
1214783246928-01,2022-03-03,3,Cliente 90,91.3
1215300761005-01,2022-03-05,3,Cliente 91,77.23
1215312385342-01,2022-03-05,3,Cliente 92,132.46
1215792042659-01,2022-03-07,3,Cliente 93,119.0
1215792725291-01,2022-03-07,3,Cliente 78,20.3
1215800380062-01,2022-03-07,3,Cliente 94,102.0
1215800483334-01,2022-03-07,3,Cliente 95,207.2
1215800831891-01,2022-03-07,3,Cliente 96,72.2
1215801460668-01,2022-03-07,3,Cliente 97,202.8
1215801698947-01,2022-03-07,3,Cliente 98,156.3
1215812926763-01,2022-03-07,3,Cliente 99,180.0
1215813292254-01,2022-03-07,3,Cliente 100,138.0
1215822108468-01,2022-03-07,3,Cliente 101,187.65
1215822297395-01,2022-03-07,3,Cliente 102,202.8
1215822929595-01,2022-03-07,3,Cliente 103,189.0
1215833416973-01,2022-03-07,3,Cliente 104,74.1
1215840982608-01,2022-03-07,3,Cliente 105,239.3
1215841693631-01,2022-03-07,3,Cliente 106,67.4
1215842417711-01,2022-03-07,3,Cliente 107,223.6
1215852590720-01,2022-03-07,3,Cliente 108,127.1
1215853291504-01,2022-03-07,3,Cliente 109,93.3
1215880714207-01,2022-03-08,3,Cliente 110,190.9
1215950705322-01,2022-03-08,3,Cliente 111,99.8
1215961685016-01,2022-03-08,3,Cliente 112,104.2
1215970241299-01,2022-03-08,3,Cliente 113,89.4
1215970361713-01,2022-03-08,3,Cliente 114,83.1
1215970456883-01,2022-03-08,3,Cliente 114,78.3
1215971267047-01,2022-03-08,3,Cliente 115,250.7
1215971923714-01,2022-03-08,3,Cliente 116,72.2
1215972341046-01,2022-03-08,3,Cliente 117,83.1
1215980183628-01,2022-03-08,3,Cliente 118,189.0
1215980858921-01,2022-03-08,3,Cliente 119,109.42
1215980950725-01,2022-03-08,3,Cliente 120,225.7
1215982006194-01,2022-03-08,3,Cliente 121,209.8
1215991583046-01,2022-03-08,3,Cliente 111,183.5
1215991876407-01,2022-03-08,3,Cliente 116,54.9
1216000088982-01,2022-03-08,3,Cliente 122,153.32
1216000687730-01,2022-03-08,3,Cliente 123,89.4
1216001323857-01,2022-03-08,3,Cliente 124,189.0
1216002683232-01,2022-03-08,3,Cliente 125,212.13
1216010027276-01,2022-03-08,3,Cliente 126,64.1
1216011557855-01,2022-03-08,3,Cliente 127,61.91
1216013585496-01,2022-03-08,3,Cliente 128,72.2
1216020594151-01,2022-03-08,3,Cliente 129,204.8
1216021055435-01,2022-03-08,3,Cliente 130,72.2
1216021830030-01,2022-03-08,3,Cliente 131,91.3
1216022076238-01,2022-03-08,3,Cliente 132,114.3
1216022330495-01,2022-03-08,3,Cliente 133,61.2
1216022405738-01,2022-03-08,3,Cliente 132,46.2
1216030501842-01,2022-03-08,3,Cliente 134,67.4
1216030708611-01,2022-03-08,3,Cliente 135,156.3
1216033297426-01,2022-03-08,3,Cliente 136,238.7
1216040813923-01,2022-03-08,3,Cliente 137,83.1
1215321693638-01,2022-03-05,3,Cliente 138,217.5
1215330417167-01,2022-03-05,3,Cliente 139,99.36
1215330808606-01,2022-03-05,3,Cliente 140,181.71
1215331989723-01,2022-03-05,3,Cliente 139,132.56
1215332200603-01,2022-03-05,3,Cliente 141,219.6
1215332758932-01,2022-03-05,3,Cliente 139,99.36
1215333509223-01,2022-03-05,3,Cliente 139,275.6
1215353089099-01,2022-03-05,3,Cliente 142,278.8
1215481593887-01,2022-03-06,3,Cliente 143,171.69
1215491547736-01,2022-03-06,3,Cliente 139,202.8
1215502594425-01,2022-03-06,3,Cliente 139,202.8
1215520314842-01,2022-03-06,3,Cliente 144,104.2
1215521022610-01,2022-03-06,3,Cliente 144,91.3
1215531320792-01,2022-03-06,3,Cliente 145,180.45
1215552479771-01,2022-03-06,3,Cliente 146,151.67
1215561343073-01,2022-03-06,3,Cliente 147,188.9
1215561983513-01,2022-03-06,3,Cliente 148,189.0
1215572920565-01,2022-03-06,3,Cliente 149,83.1
1215572942429-01,2022-03-06,3,Cliente 150,194.9
1215581769015-01,2022-03-06,3,Cliente 151,72.2
1215612598978-01,2022-03-06,3,Cliente 152,235.2
1215621049630-01,2022-03-06,3,Cliente 153,223.9
1215640918438-01,2022-03-07,3,Cliente 154,184.5
1215720652045-01,2022-03-07,3,Cliente 155,220.4
